timestamp,soft_xray_flux,hard_xray_flux,label,flare_class
2026-06-13 11:23:00+00:00,5.878471256437479e-07,2.284877842484434e-09,0,
2026-06-13 11:24:00+00:00,5.908967182222113e-07,9.999999717180685e-10,0,
2026-06-13 11:25:00+00:00,6.286840061875409e-07,6.182931944209713e-09,0,
2026-06-13 11:26:00+00:00,6.66691619244375e-07,6.8049059720465266e-09,0,
2026-06-13 11:27:00+00:00,6.492718398476427e-07,5.697977201180038e-09,0,
2026-06-13 11:28:00+00:00,6.210858032318356e-07,4.328823965948914e-09,0,
2026-06-13 11:29:00+00:00,6.1121875205572e-07,4.30854507627032e-09,0,
2026-06-13 11:30:00+00:00,6.031567068021104e-07,3.728665820545984e-09,0,
2026-06-13 11:31:00+00:00,5.946713486082444e-07,3.54234996891023e-09,0,
2026-06-13 11:32:00+00:00,5.895300887459598e-07,3.878017906799869e-09,0,
2026-06-13 11:33:00+00:00,5.829472797813651e-07,3.4189113762295165e-09,0,
2026-06-13 11:34:00+00:00,5.840715289195941e-07,3.634599732293964e-09,0,
2026-06-13 11:35:00+00:00,5.787805434920301e-07,2.7093420840174076e-09,0,
2026-06-13 11:36:00+00:00,5.742117537010927e-07,4.257966423892867e-09,0,
2026-06-13 11:37:00+00:00,5.713765176551533e-07,3.5520604235728115e-09,0,
2026-06-13 11:38:00+00:00,5.674681347045407e-07,2.1018413676188175e-09,0,
2026-06-13 11:39:00+00:00,5.658387749463145e-07,2.770324858403228e-09,0,
2026-06-13 11:40:00+00:00,5.624254413305607e-07,9.999999717180685e-10,0,
2026-06-13 11:41:00+00:00,5.586015277003753e-07,9.999999717180685e-10,0,
2026-06-13 11:42:00+00:00,5.629316888189351e-07,9.999999717180685e-10,0,
2026-06-13 11:43:00+00:00,5.828115376971255e-07,9.999999717180685e-10,0,
2026-06-13 11:44:00+00:00,5.820987212246109e-07,9.999999717180685e-10,0,
2026-06-13 11:45:00+00:00,5.920066996623063e-07,9.999999717180685e-10,0,
2026-06-13 11:46:00+00:00,6.313644576039223e-07,1.0534427774544497e-09,0,
2026-06-13 11:47:00+00:00,6.644739301009395e-07,9.999999717180685e-10,0,
2026-06-13 11:48:00+00:00,6.749896215296758e-07,9.999999717180685e-10,0,
2026-06-13 11:49:00+00:00,7.548846951976884e-07,9.999999717180685e-10,0,
2026-06-13 11:50:00+00:00,7.421816121677693e-07,1.3510610408218326e-09,0,
2026-06-13 11:51:00+00:00,6.739973628100415e-07,9.999999717180685e-10,0,
2026-06-13 11:52:00+00:00,6.878993872305728e-07,9.999999717180685e-10,0,
2026-06-13 11:53:00+00:00,6.553511298079684e-07,9.999999717180685e-10,0,
2026-06-13 11:54:00+00:00,6.489643737950246e-07,9.999999717180685e-10,0,
2026-06-13 11:55:00+00:00,6.369880338752409e-07,2.7311390926598733e-09,0,
2026-06-13 11:56:00+00:00,6.242673862288939e-07,9.999999717180685e-10,0,
2026-06-13 11:57:00+00:00,6.30185184036236e-07,9.999999717180685e-10,0,
2026-06-13 11:58:00+00:00,6.912951562298986e-07,9.999999717180685e-10,0,
2026-06-13 11:59:00+00:00,7.210653620859375e-07,9.999999717180685e-10,0,
2026-06-13 12:00:00+00:00,6.9192429918985e-07,2.207417360011732e-09,0,
2026-06-13 12:01:00+00:00,6.408400849977625e-07,1.6896140042632624e-09,0,
2026-06-13 12:02:00+00:00,6.094281275181856e-07,2.5882831433676756e-09,0,
